username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
KIRTI82,11/17/16 2:41,2,0,"@ArvindKejriwal aap ko demonetization ke bare mei ek bahut bade scam ka angle batana hai sir. . . . . . . . . . . Modi hi sonam Gupta hai""""",,@ArvindKejriwal,,7.99201E+17,https://twitter.com/KIRTI82/status/799200771896000512
Purnanga01,11/17/16 2:40,0,0,#demonetization Seems like 100 rupee notes are being made in a hurry! #faulty Happy to wait @narendramodi sir,,,,,
juanification,11/17/16 2:40,0,0,So broke that this is what I'm living on now. Pulao without pyaz and dahi. And chai. But fauji border pe,,,,,
DeepakRupeeone,11/17/16 2:40,0,0,BJP MLA reveals something abt #demonetization http://www. newindianexpress.com/nation/2016/no v/17/adanis-ambanis-already-knew-about-currency-ban-bjp-mla-caught-on-camera-1539642.html â€_,,,#demonetization,7.992E+17,https://twitter.com/DeepakRupeeone/status/799200427837366274
SamirPandita,11/17/16 2:39,0,0,He is real HAWALA KING and the entire country has realized it after demonetization . https:// twitter.com/shefvaidya/sta tus/799172508486275072 â€_,,,,7.992E+17,https://twitter.com/SamirPandita/status/799200328264486912
DailyExcelsior1,11/17/16 2:39,2,3,Celebrities support Govt move on demonetization http:// excelsiornews.com/celebrities-su pport-govt-move-demonetization-2/ â€_ pic.twitter.com/uvfElcZO9x,,,,7.992E+17,https://twitter.com/DailyExcelsior1/status/799200295469322240
abhikhandelwal,11/17/16 2:39,0,0,cc @IndiaToday result of hiring fired cartridges like @sardesairajdeep @KaranThapar_TTP please pass message to your owners #demonetization https:// twitter.com/BARCIndia/stat us/799183935938777088 â€_,,@IndiaToday @sardesairajdeep @KaranThapar_TTP,#demonetization,7.992E+17,https://twitter.com/abhikhandelwal/status/799200197901479936
RajendranPilla7,11/17/16 2:39,0,0,Demonetization of Rs 500 and Rs 1,,,,,
RowdyTalks,11/17/16 2:38,15,17,à_ªà__à__à¥‡ intolerance à_¶à_¬à¥çà__ à_†à_¯à__ à_¥à__ à_®à__à_°à¥çà_•à¥‡à_Ÿ à_®à¥‡à_‚ à_…à_¬ Demonetization à_†à_¯à__à¥_ à_¬à_¸ à__à¥‹à_— à_‡à_¸à¥€ à_•à¥‹ à_ªà_•à_¡à_•à_° à_ùà¥‚à__ à_°à__à¥‡ à__à¥ˆà¥_,,,,7.992E+17,https://twitter.com/RowdyTalks/status/799200104595025924
avthedemon,11/17/16 2:38,0,0,asli maza to tab ayega jab 31 December ko Modi ailan kar dega ki 500 1000 ke purane notes ab firse chalenge #demonetization,,,#demonetization,7.992E+17,https://twitter.com/avthedemon/status/799200096185290752
